Time,Body Position (x),Body Position (y),Body Position (z),Head Position (x),Head Position (y),Head Position (z),Region (Color),
57.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
58,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
58.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
58.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
58.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
59,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
59.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
59.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
59.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
60,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
60.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
60.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
60.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
61,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
61.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
61.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
61.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
62,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
62.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
62.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
62.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
63,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
63.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
63.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
63.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
64,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
64.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
64.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
64.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
65,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
65.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
65.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
65.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
66,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
66.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
66.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
66.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
67,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
67.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
67.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
67.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
68,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
68.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
68.5,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
68.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
69,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
69.25,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
